sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
78,cor,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,accountingEntriesEntityPartyFiscalYearEnd,CO14-14,$.Accounting Entries.Entity_ Party.Fiscal Year End,cor,Entity_ Party
79,bus,3,C,,Specified_ Accounting Method Structure,,0..*,,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,accountingEntriesEntityPartySpecifiedAccountingMethodStructure,CO14-15,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure,bus,Accounting Method Structure
80,bus,4,A,,Accounting Method,Token,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethod,BU25-01,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method,bus,Accounting Method Structure
81,bus,4,A,,Accounting Method Description,String,0..1,,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。,accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethodDescription,BU25-02,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Description,bus,Accounting Method Structure
82,bus,4,A,,Accounting Method Purpose,Token,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethodPurpose,BU25-03,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Purpose,bus,Accounting Method Structure
83,bus,4,A,,Accounting Method Purpose Description,String,0..1,,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。,accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethodPurposeDescription,BU25-04,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Purpose Description,bus,Accounting Method Structure
84,bus,4,A,,Accounting Method Start Date,Date Time,0..1,,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。,accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethodStartDate,BU25-05,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Start Date,bus,Accounting Method Structure
85,bus,4,A,,Accounting Method End Date,Date Time,0..1,,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。,accountingEntriesEntityPartySpecifiedAccountingMethodStructureAccountingMethodEndDate,BU25-06,$.Accounting Entries.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method End Date,bus,Accounting Method Structure
86,bus,3,C,,Assigned_ Accountant,,0..*,,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,accountingEntriesEntityPartyAssignedAccountant,CO14-16,$.Accounting Entries.Entity_ Party.Assigned_ Accountant,bus,Accountant
87,bus,4,A,,Accountant Name,String,0..1,,Name of the accountant,会計事務所名,会計事務所の名前。,accountingEntriesEntityPartyAssignedAccountantName,BU26-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant Name,bus,Accountant
88,bus,4,A,,Accountant Type of Engagement,Token,0..1,,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",契約種別,"外部会計事務所によって実行される契約の種別。_x000D_
[設定値のリスト]_x000D_
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",accountingEntriesEntityPartyAssignedAccountantTypeOfEngagement,BU26-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant Type of Engagement,bus,Accountant
89,bus,4,A,,Accountant Type of Engagement Description,String,0..1,,Free format description of the type of engagement,契約種別説明,契約種別の説明。,accountingEntriesEntityPartyAssignedAccountantTypeOfEngagementDescription,BU26-03,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant Type of Engagement Description,bus,Accountant
90,bus,4,C,,Accountant_ Address,,0..*,,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,accountingEntriesEntityPartyAssignedAccountantAddress,BU26-04,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address,bus,Accountant_ Address
91,bus,5,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,accountingEntriesEntityPartyAssignedAccountantAddressName,BU19-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Name,bus,Accountant_ Address
92,bus,5,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,accountingEntriesEntityPartyAssignedAccountantAddressDescription,BU19-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Description,bus,Accountant_ Address
93,bus,5,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,accountingEntriesEntityPartyAssignedAccountantAddressPurpose,BU19-03,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Purpose,bus,Accountant_ Address
94,bus,5,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,accountingEntriesEntityPartyAssignedAccountantAddressLocationId,BU19-04,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Location ID,bus,Accountant_ Address
95,bus,5,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,accountingEntriesEntityPartyAssignedAccountantAddressBuildingNumber,BU19-05,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Building Number,bus,Accountant_ Address
96,bus,5,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,accountingEntriesEntityPartyAssignedAccountantAddressStreet,BU19-06,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Street,bus,Accountant_ Address
97,bus,5,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,accountingEntriesEntityPartyAssignedAccountantAddressDetail,BU19-07,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Address Detail,bus,Accountant_ Address
98,bus,5,A,,City,String,0..1,,City,住所都市,住所の都市。,accountingEntriesEntityPartyAssignedAccountantAddressCity,BU19-08,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.City,bus,Accountant_ Address
99,bus,5,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,accountingEntriesEntityPartyAssignedAccountantAddressStateOrProvince,BU19-09,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.State or Province,bus,Accountant_ Address
100,bus,5,A,,Country,String,0..1,,Country,住所国,住所の国。,accountingEntriesEntityPartyAssignedAccountantAddressCountry,BU19-10,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Country,bus,Accountant_ Address
101,bus,5,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,accountingEntriesEntityPartyAssignedAccountantAddressZipOrPostalCode,BU19-11,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Zip or Postal Code,bus,Accountant_ Address
102,bus,5,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,accountingEntriesEntityPartyAssignedAccountantAddressActiveIndicator,BU19-12,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Active Indicator,bus,Accountant_ Address
103,bus,4,C,,Accountant_ Contact,,0..*,,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,accountingEntriesEntityPartyAssignedAccountantContact,BU26-05,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact,bus,Accountant_ Contact
104,bus,5,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),accountingEntriesEntityPartyAssignedAccountantContactPrefix,BU24-01,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Prefix,bus,Accountant_ Contact
105,bus,5,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,accountingEntriesEntityPartyAssignedAccountantContactLastName,BU24-02,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Last Name,bus,Accountant_ Contact
106,bus,5,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,accountingEntriesEntityPartyAssignedAccountantContactFirstName,BU24-03,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact First Name,bus,Accountant_ Contact
107,bus,5,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),accountingEntriesEntityPartyAssignedAccountantContactSuffix,BU24-04,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Suffix,bus,Accountant_ Contact
108,bus,5,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,accountingEntriesEntityPartyAssignedAccountantContactAttentionLine,BU24-05,$.Accounting Entries.Entity_ Party.Assigned_ Accountant.Accountant_ Contact.Contact Attention Line,bus,Accountant_ Contact
