sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
459,1,Class,,lnk,Summary Reporting Taxonomies,,,,,,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
460,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy ID,,String,,,0..1,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。
461,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Schema Reference Href Attribute,,String,,,0..1,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。
462,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Header,,String,,,0..1,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。
463,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Description,,String,,,0..1,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。
464,1,Class,,lnk,Summary Context Entity Segment,,,,,,0..1,This class allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。
465,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。
466,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。
467,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。
468,2,Attribute,,lnk,Summary Context Entity Segment,Summary Context Segment Non Dimensional Contents,,String,,,0..*,The value must be CDATA and a valid XML fragment.,集約セグメント非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
469,1,Class,,lnk,Summary Context Entity Segment Explicit Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。
470,2,Attribute,,lnk,Summary Context Entity Segment Explicit Dimension,Summary Context Entity Segment Explicit Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid explicit dimension item used in segment.,集約セグメントエクスプリシットディメンション,セグメントで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。
471,1,Class,,lnk,Summary Context Entity Segment Typed Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。
472,2,Attribute,,lnk,Summary Context Entity Segment Typed Dimension,Summary Context Entity Segment Typed Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid typed dimension item used in segment.,集約セグメントタイプトディメンション,セグメントで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。
473,1,Class,,lnk,Summary Context Entity Segment Simple Element Content,,,,,,0..*,This class allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。
474,2,Attribute,,lnk,Summary Context Entity Segment Simple Element Content,Summary Context Entity Segment Simple Element,,QName,,,1..1,"QName for the segment simple element, if appropriate.",集約セグメントシンプルエレメント名,集約セグメントシンプルエレメントの記述のQName
475,2,Attribute,,lnk,Summary Context Entity Segment Simple Element Content,Summary Context Entity Segment Simple Element Value,,String,,,1..1,The value of the segment simple element content.,集約セグメントシンプルエレメント値,集約セグメントシンプルエレメントの値。
476,1,Class,,lnk,Summary Context Scenario Explicit Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
477,2,Attribute,,lnk,Summary Context Scenario Explicit Dimension,Summary Context Scenario Explicit Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid explicit dimension item used in scenario.,集約シナリオエクスプリシットディメンション,シナリオで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。
478,1,Class,,lnk,Summary Context Scenario Typed Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
479,2,Attribute,,lnk,Summary Context Scenario Typed Dimension,Summary Context Scenario Typed Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid typed dimension item used in scenario.,集約シナリオタイプトディメンション,シナリオで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。
480,1,Class,,lnk,Summary Context Scenario Simple Element Content,,,,,,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。
481,2,Attribute,,lnk,Summary Context Scenario Simple Element Content,Summary Context Scenario Simple Element,,QName,,,1..1,"QName for the scenario simple element, if appropriate.",集約シナリオシンプルエレメント名,集約シナリオシンプルエレメントの記述のQName
482,2,Attribute,,lnk,Summary Context Scenario Simple Element Content,Summary Context Scenario Simple Element Value,,String,,,1..1,The value of the scenario simple element content.,集約シナリオシンプルエレメント値,集約シナリオシンプルエレメントの値。
483,1,Class,,lnk,Summary Context Entity,,,,,,0..1,This class allows to explicitly indicate the entity information for a fact in the FR instance.,【集約エンティティ】,集約のエンティティの記述の指定場所。
484,2,Attribute,,lnk,Summary Context Entity,Summary Context Entity ID,,Token,,,0..1,The value of the entity identifier.,集約エンティティ識別子,集約のエンティティ識別子の記述の指定場所。
485,2,Attribute,,lnk,Summary Context Entity,Summary Context Entity Scheme,,anyURI,,,0..1,The value of the entity scheme.,集約エンティティスキーム,集約のエンティティスキームの記述の指定場所。
486,2,Composition,,lnk,Summary Context Entity,,,,lnk,Summary Context Entity Segment,0..1,This class allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。
487,1,Class,,lnk,Summary Context Period (choice),,,,,,0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",【集約ピリオド】,集約のピリオドの記述の指定場所。
488,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Instant,,Date Time,,,1..1,The value of the instant date.,集約ピリオドインスタント,集約のピリオドの特定の日付の記述の指定場所。
489,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Forever,,String,,,1..1,"If the context should indicate ""forever"", this concept must be used. It accepts no value.",集約ピリオド無期限,集約のピリオドが無期限であることを示す指定場所。
490,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Start Date (sequence),,Date Time,,,1..1,The value of the start date of the period.,集約ピリオド開始日付,集約のピリオドの開始日の記述の指定場所。
491,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period End Date (sequence),,Date Time,,,1..1,The value of the end date of the period.,集約ピリオド終了日付,集約のピリオドの終了日の記述の指定場所。
492,1,Class,,lnk,Summary Context Scenario,,,,,,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,【集約シナリオ】,集約のシナリオの記述の指定場所。
493,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
494,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
495,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。
496,2,Attribute,,lnk,Summary Context Scenario,Summary Context Scenaio Non Dimensional Contents,,String,,,0..*,The value must be CDATA and a valid XML fragment.,集約シナリオ非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
497,1,Class,,lnk,Summary Context,,,,,,0..1,This class allows to explicitly indicate the context information for a fact in the FR instance.,【集約コンテキスト】,集約のコンテキストの記述の指定場所。
498,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Entity,0..1,This class allows to explicitly indicate the entity information for a fact in the FR instance.,【集約エンティティ】,集約のエンティティの記述の指定場所。
499,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Period (choice),0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",【集約ピリオド】,集約のピリオドの記述の指定場所。
500,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Scenario,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,【集約シナリオ】,集約のシナリオの記述の指定場所。
